               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074832,            0.020126,                   0,             0.62325,             0.67621,             0.60791,               0.249,            0.044137,           0.0098811,                   0,            0.070122,           0.0033197,           0.0033197
                   1,            0.047192,             0.01273,                   0,             0.88787,             0.76691,             0.85525,              0.4586,            0.036888,           0.0064775,                   0,            0.039991,           0.0065213,           0.0065213
                   2,            0.042658,            0.009852,                   0,               0.951,             0.86476,             0.91441,             0.46485,            0.032612,           0.0053476,                   0,            0.009727,           0.0095909,           0.0095909
                   3,            0.037763,           0.0084188,                   0,             0.94099,             0.86158,             0.91701,             0.56398,            0.028318,           0.0049721,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.03442,           0.0076357,                   0,             0.94809,             0.87183,             0.91972,             0.54658,            0.030472,           0.0045516,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.031385,           0.0073105,                   0,             0.95663,              0.8926,             0.94593,             0.59279,            0.026813,           0.0041638,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.03028,           0.0069396,                   0,             0.95143,             0.90393,              0.9462,             0.60531,            0.026033,           0.0039779,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.028608,            0.006777,                   0,              0.9691,             0.90613,             0.95445,             0.63603,             0.02529,           0.0038353,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.02812,           0.0066079,                   0,             0.95745,             0.91408,             0.95679,             0.63912,            0.025094,           0.0038242,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.02751,           0.0063569,                   0,             0.96725,             0.91634,             0.96234,             0.65072,            0.024161,           0.0037049,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.026623,           0.0063859,                   0,             0.96916,             0.92999,             0.96311,             0.65468,            0.023774,           0.0037181,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.02632,           0.0062085,                   0,             0.95844,             0.92442,             0.96041,             0.66264,            0.024003,           0.0036396,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.025777,            0.006183,                   0,             0.95239,             0.93902,             0.96612,             0.67041,            0.023046,           0.0036973,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.025195,            0.006029,                   0,             0.97536,             0.92522,             0.96734,             0.68536,            0.022713,           0.0035856,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.024915,           0.0059787,                   0,             0.96414,             0.94104,             0.96777,             0.67163,            0.022762,           0.0035786,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.024393,            0.005845,                   0,             0.96799,             0.94352,             0.97315,             0.68569,            0.022643,           0.0035013,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.024398,           0.0058369,                   0,             0.97211,              0.9284,             0.96803,              0.6867,            0.022651,            0.003548,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.024032,           0.0058056,                   0,             0.96587,             0.94272,             0.97405,             0.69925,            0.022087,           0.0034707,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.02348,           0.0057706,                   0,             0.96683,             0.94749,             0.97037,             0.69906,            0.021804,           0.0034753,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.022969,           0.0056115,                   0,             0.96728,             0.94064,             0.97529,             0.70174,            0.021864,           0.0035016,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.023188,           0.0056224,                   0,             0.97918,             0.93954,             0.97362,             0.70315,            0.021757,           0.0034544,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.022998,           0.0056217,                   0,             0.96603,             0.93715,             0.96976,             0.69405,            0.021905,           0.0034534,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.022217,             0.00546,                   0,             0.96623,             0.95068,             0.97292,             0.70497,            0.021483,           0.0034669,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.022249,           0.0056199,                   0,             0.97053,             0.94322,             0.96929,             0.70546,             0.02143,           0.0034136,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.021974,           0.0054806,                   0,             0.97614,             0.94387,             0.97262,             0.70013,              0.0214,           0.0033966,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.021974,            0.005408,                   0,             0.97513,              0.9459,             0.97345,             0.70537,            0.021326,           0.0034492,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.021224,           0.0053186,                   0,               0.981,             0.94463,             0.97233,             0.71731,            0.021139,           0.0033668,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.021316,           0.0053947,                   0,             0.96773,             0.94829,             0.97429,             0.71379,            0.021082,           0.0033581,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.020954,           0.0053844,                   0,             0.97686,             0.94024,             0.97237,             0.72588,            0.020721,           0.0033258,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.020889,           0.0052663,                   0,             0.97626,             0.94865,             0.97446,             0.72318,            0.020636,           0.0033114,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.020678,           0.0052099,                   0,             0.97452,             0.94331,             0.97517,             0.72766,            0.020482,           0.0033527,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.020324,           0.0052037,                   0,             0.97617,             0.94511,             0.97399,             0.73262,            0.020228,           0.0032385,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.020507,           0.0050618,                   0,              0.9738,             0.94632,             0.97321,              0.7251,            0.020675,           0.0032575,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.019969,            0.005068,                   0,             0.98019,             0.94486,             0.97247,             0.72958,            0.020248,           0.0032653,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.019711,           0.0050512,                   0,             0.98108,             0.94866,             0.97232,             0.72931,            0.020112,            0.003222,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.019347,           0.0049527,                   0,             0.97436,             0.95227,              0.9766,             0.73598,            0.019898,           0.0032023,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.019498,           0.0049979,                   0,             0.97858,              0.9449,             0.97645,             0.73394,            0.020124,           0.0032336,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.019157,           0.0049807,                   0,             0.97977,             0.94749,             0.97821,             0.74211,            0.019689,           0.0032305,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.018975,           0.0048731,                   0,             0.97398,             0.95311,             0.97489,             0.73582,            0.019763,           0.0031924,                   0,            0.002674,            0.002674,            0.002674
                  39,             0.01882,           0.0048662,                   0,             0.98451,             0.94511,             0.97414,              0.7382,            0.019705,           0.0031729,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.018759,           0.0048354,                   0,             0.98039,             0.95437,             0.97641,             0.74479,            0.019493,           0.0031793,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.018499,           0.0048826,                   0,             0.98505,             0.94365,             0.97495,             0.74118,            0.019438,           0.0031918,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.018069,           0.0047718,                   0,             0.98032,             0.94988,             0.97593,             0.74873,            0.019551,           0.0031558,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.017639,           0.0046962,                   0,             0.97892,             0.96038,              0.9769,             0.74846,            0.019375,           0.0031452,                   0,            0.001684,            0.001684,            0.001684
